"Author","Year","Specimen","ShapeName","d","d_units","tw","tw_units","bf","bf_units","tf","tf_units","Fy","Fy_units","Fu","Fu_units","H","H_units","B","B_units","fc","fc_type","fc_units","config_longitudinal","db","db_units","Fylr","Fylr_units","config_lateral","dbTies","dbTies_units","s","s_units","Fytr","Fytr_units","cover","cover_units","L","L_units","et","et_units","eb","eb_units","BendingAxis","Pexp","Pexp_units","d_at_Pexp","d_at_Pexp_units","Tags","Notes"
"Stevens","1965","B1","BS 3x1-1/2","3","in","0.16","in","1.5","in","0.25","in","40.6","ksi","","","5","in","3.5","in","2.56","Cylinder","ksi","none","","","","","none","","","","","","","","","46","in","0","in","","","weak","81.4","kips","","","",""
"Stevens","1965","B2","BS 3x1-1/2","3","in","0.16","in","1.5","in","0.25","in","40.6","ksi","","","5","in","3.5","in","1.84","Cylinder","ksi","none","","","","","none","","","","","","","","","64","in","0","in","","","weak","60.1","kips","","","",""
"Stevens","1965","B3","BS 3x1-1/2","3","in","0.16","in","1.5","in","0.25","in","40.6","ksi","","","5","in","3.5","in","2.24","Cylinder","ksi","none","","","","","none","","","","","","","","","82","in","0","in","","","weak","63","kips","","","",""
"Stevens","1965","B4","BS 3x1-1/2","3","in","0.16","in","1.5","in","0.25","in","40.6","ksi","","","5","in","3.5","in","2","Cylinder","ksi","none","","","","","none","","","","","","","","","100","in","0","in","","","weak","43.6","kips","","","",""
"Stevens","1965","B5","BS 3x1-1/2","3","in","0.16","in","1.5","in","0.25","in","40.6","ksi","","","5","in","3.5","in","2.52","Cylinder","ksi","none","","","","","none","","","","","","","","","118","in","0","in","","","weak","50.6","kips","","","",""
"Stevens","1965","B6","BS 3x1-1/2","3","in","0.16","in","1.5","in","0.25","in","40.6","ksi","","","5","in","3.5","in","2.2","Cylinder","ksi","none","","","","","none","","","","","","","","","136","in","0","in","","","weak","36.1","kips","","","",""
"Stevens","1965","B7","BS 3x1-1/2","3","in","0.16","in","1.5","in","0.25","in","40.6","ksi","","","5","in","3.5","in","2.76","Cylinder","ksi","none","","","","","none","","","","","","","","","154","in","0","in","","","weak","33.9","kips","","","",""
"Stevens","1965","A1","BS 5x4-1/2","5","in","0.29","in","4.5","in","0.51","in","41.1","ksi","","","7","in","6.5","in","2.32","Cylinder","ksi","none","","","","","none","","","","","","","","","13","in","0","in","","","weak","352","kips","","","",""
"Stevens","1965","A2","BS 5x4-1/2","5","in","0.29","in","4.5","in","0.51","in","41.4","ksi","","","7","in","6.5","in","2.08","Cylinder","ksi","none","","","","","none","","","","","","","","","46","in","0","in","","","weak","308","kips","","","",""
"Stevens","1965","A5","BS 5x4-1/2","5","in","0.29","in","4.5","in","0.51","in","41.4","ksi","","","7","in","6.5","in","2.32","Cylinder","ksi","none","","","","","none","","","","","","","","","118","in","0","in","","","weak","288","kips","","","",""
"Stevens","1965","A6","BS 5x4-1/2","5","in","0.29","in","4.5","in","0.51","in","41.4","ksi","","","7","in","6.5","in","2.48","Cylinder","ksi","none","","","","","none","","","","","","","","","153","in","0","in","","","weak","231","kips","","","",""
"Stevens","1965","A3","BS 5x4-1/2","5","in","0.29","in","4.5","in","0.51","in","41.4","ksi","","","7","in","6.5","in","2.28","Cylinder","ksi","none","","","","","none","","","","","","","","","82","in","0","in","","","weak","316.8","kips","","","",""
"Stevens","1965","A4","BS 5x4-1/2","5","in","0.29","in","4.5","in","0.51","in","41.4","ksi","","","7","in","6.5","in","2.66","Cylinder","ksi","none","","","","","none","","","","","","","","","82","in","0","in","","","weak","297","kips","","","",""
"Stevens","1965","FA1","BS 12x8","12","in","0.43","in","8","in","0.9","in","32.4","ksi","","","16","in","12","in","2.28","Cylinder","ksi","none","","","","","none","","","","","","","","","36","in","0","in","","","weak","1051","kips","","","",""
"Stevens","1965","FA2","BS 12x8","12","in","0.43","in","8","in","0.9","in","32.4","ksi","","","16","in","12","in","2.44","Cylinder","ksi","none","","","","","none","","","","","","","","","72","in","0","in","","","weak","990","kips","","","",""
"Stevens","1965","FA3","BS 12x8","12","in","0.43","in","8","in","0.9","in","32.4","ksi","","","16","in","12","in","2.16","Cylinder","ksi","none","","","","","none","","","","","","","","","108","in","0","in","","","weak","926","kips","","","",""
"Stevens","1965","FA4","BS 12x8","12","in","0.43","in","8","in","0.9","in","32.4","ksi","","","16","in","12","in","2.4","Cylinder","ksi","none","","","","","none","","","","","","","","","144","in","0","in","","","weak","937","kips","","","",""
"Stevens","1965","FA5","BS 12x8","12","in","0.43","in","8","in","0.9","in","32.4","ksi","","","16","in","12","in","2.4","Cylinder","ksi","none","","","","","none","","","","","","","","","180","in","0","in","","","weak","933","kips","","","",""
"Stevens","1965","S1G","BS 8x6","8","in","0.44","in","6","in","0.6","in","33.3","ksi","","","10","in","8","in","2.16","Cylinder","ksi","none","","","","","none","","","","","","","","","84","in","0","in","","","weak","528","kips","","","",""
"Stevens","1965","S1E","BS 8x6","8","in","0.44","in","6","in","0.6","in","33.3","ksi","","","10","in","8","in","2.44","Cylinder","ksi","none","","","","","none","","","","","","","","","84","in","0","in","","","weak","618.2","kips","","","LightweightConcrete",""
