"specimen_id","displacement_mm","lateral_load_kN"
"thom94d3","-0.12192","-0.36653341"
"thom94d3","-0.17272","-1.696996312"
"thom94d3","-0.2667","-4.411745588"
"thom94d3","-0.38354","-6.638080198"
"thom94d3","-0.44196","-8.511670884"
"thom94d3","-0.55372","-11.28068846"
"thom94d3","-0.65786","-12.01375528"
"thom94d3","-0.52324","-8.864414809"
"thom94d3","-0.4318","-6.774195761"
"thom94d3","-0.38862","-4.303208995"
"thom94d3","-0.25654","-1.316673416"
"thom94d3","-0.16764","1.208136824"
"thom94d3","-0.09144","3.35306899"
"thom94d3","-0.03556","5.769342637"
"thom94d3","0.10414","8.212750432"
"thom94d3","0.19304","9.950670377"
"thom94d3","0.26924","11.14501772"
"thom94d3","0.14732","8.56593918"
"thom94d3","0.11176","6.339604569"
"thom94d3","0.01524","3.380203138"
"thom94d3","-0.07874","0.82825875"
"thom94d3","-0.18796","-1.343807564"
"thom94d3","-0.22098","-2.728538761"
"thom94d3","-0.30226","-5.117678261"
"thom94d3","-0.37592","-7.50681776"
"thom94d3","-0.46736","-9.814999637"
"thom94d3","-0.58166","-12.33980988"
"thom94d3","-0.64262","-13.69740693"
"thom94d3","-0.5461","-10.38481675"
"thom94d3","-0.45974","-8.131347988"
"thom94d3","-0.37592","-5.877879229"
"thom94d3","-0.30226","-2.89134365"
"thom94d3","-0.24384","-0.420801707"
"thom94d3","-0.10922","2.45719728"
"thom94d3","-0.00762","4.466013884"
"thom94d3","0.08382","6.774195761"
"thom94d3","0.17526","9.16333526"
"thom94d3","0.23368","11.03648112"
"thom94d3","0.14224","8.593073328"
"thom94d3","0.0762","6.068263088"
"thom94d3","0.01016","3.732947063"
"thom94d3","-0.07366","1.072466083"
"thom94d3","-0.16256","-1.615593867"
"thom94d3","-0.20066","-2.239679274"
"thom94d3","-0.2667","-3.841928478"
"thom94d3","-0.48768","-8.783012365"
"thom94d3","-0.71374","-15.81520494"
"thom94d3","-0.96012","-20.29456349"
"thom94d3","-1.22174","-23.87849515"
"thom94d3","-1.43256","-25.88775658"
"thom94d3","-1.20396","-19.88755127"
"thom94d3","-0.97282","-13.94161426"
"thom94d3","-0.7493","-7.968543099"
"thom94d3","-0.51308","-1.642728015"
"thom94d3","-0.28956","4.357477292"
"thom94d3","-0.03302","9.706018222"
"thom94d3","0.20574","14.4033396"
"thom94d3","0.45974","17.66121666"
"thom94d3","0.7112","21.05476446"
"thom94d3","0.95504","24.12314731"
"thom94d3","0.82042","19.23588689"
"thom94d3","0.56896","13.28994988"
"thom94d3","0.32512","7.832872359"
"thom94d3","0.0762","2.049740237"
"thom94d3","-0.1397","-3.217398249"
"thom94d3","-0.20574","-4.656397743"
"thom94d3","-0.1905","-5.036275816"
"thom94d3","-0.37084","-9.271871852"
"thom94d3","-0.63246","-14.37620545"
"thom94d3","-0.89408","-18.88314297"
"thom94d3","-1.14808","-23.00975759"
"thom94d3","-1.40208","-26.5122868"
"thom94d3","-1.31318","-22.5208981"
"thom94d3","-1.07442","-16.54782694"
"thom94d3","-0.8255","-10.19487771"
"thom94d3","-0.62738","-5.171946557"
"thom94d3","-0.37846","1.235270972"
"thom94d3","-0.14986","6.882732353"
"thom94d3","0.08636","11.36253572"
"thom94d3","0.35306","14.97315671"
"thom94d3","0.61468","19.23588689"
"thom94d3","0.86614","22.73841611"
"thom94d3","0.89154","20.89195957"
