"case_name","warning_count","error_count","last_step","cp_line","elapsed_line"
"thom94d3_e_base","0","0",," |        CP Time      (sec) =          0.094       Time  =  12:52:28          |"," |        Elapsed Time (sec) =          3.000       Date  =  04/02/2026        |"
"thom94d3_E_base1","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         36.188       Time  =  18:00:05          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_E_base2","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         35.422       Time  =  18:00:05          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_E_base3","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         47.891       Time  =  18:00:05          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_e_base","23","0"," *** LOAD STEP   710   SUBSTEP     1  COMPLETED.    CUM ITER =   4897",,
"thom94d3_E_base1","0","0"," *** LOAD STEP   710   SUBSTEP     1  COMPLETED.    CUM ITER =   4897",,
"thom94d3_E_base2","0","0"," *** LOAD STEP   710   SUBSTEP     1  COMPLETED.    CUM ITER =   4897",,
"thom94d3_E_base3","0","0"," *** LOAD STEP   710   SUBSTEP     1  COMPLETED.    CUM ITER =   4897",,
"thom94d3_e_base","23","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5450"," |        CP Time      (sec) =        119.078       Time  =  18:41:24          |"," |        Elapsed Time (sec) =        129.000       Date  =  03/29/2026        |"
"thom94d3_E_base1","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5450"," |        CP Time      (sec) =         43.188       Time  =  18:41:24          |"," |        Elapsed Time (sec) =        129.000       Date  =  03/29/2026        |"
"thom94d3_E_base2","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5450"," |        CP Time      (sec) =         43.125       Time  =  18:41:24          |"," |        Elapsed Time (sec) =        129.000       Date  =  03/29/2026        |"
"thom94d3_E_base3","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5450"," |        CP Time      (sec) =         55.359       Time  =  18:41:24          |"," |        Elapsed Time (sec) =        129.000       Date  =  03/29/2026        |"
"thom94d3_e_m10","0","0",," |        CP Time      (sec) =          0.125       Time  =  12:52:30          |"," |        Elapsed Time (sec) =          3.000       Date  =  04/02/2026        |"
"thom94d3_E_m10_1","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         34.531       Time  =  18:02:07          |"," |        Elapsed Time (sec) =        122.000       Date  =  03/29/2026        |"
